formatted_date,IBM,RR.L,EBAY,INTC,NKE
21/8/15,122.3794556,674.2675781,25.27064514,23.51429939,50.34374619
24/8/15,117.9561844,660.0484009,24.44691849,23.23984337,48.93052292
25/8/15,115.8925781,664.1765747,24.74110413,22.90342331,48.77035522
26/8/15,120.6117859,655.4615479,25.66289139,24.16944313,51.23407745
27/8/15,122.1245422,670.1394653,26.57486916,24.54127312,53.05243301
28/8/15,121.6641541,682.0653687,26.72196388,25.16100693,52.99588776
31/8/15,121.5901489,,26.58467674,25.26724625,52.6425972
1/9/15,117.3066711,666.928772,25.96688461,24.62980843,51.1728363
2/9/15,119.2552109,671.515564,26.34932518,25.320364,52.14796829
3/9/15,120.6775131,676.102417,26.51603317,25.74532318,52.48411942
4/9/15,118.1452713,661.4243774,25.96688461,25.24953842,51.93489838
8/9/15,121.0475311,665.5526733,25.84921074,26.11715698,52.91024399
9/9/15,119.2552109,670.5981445,25.69230843,25.88697243,52.0153923
10/9/15,120.2007065,665.0939331,25.64327812,25.91353607,52.26158142
11/9/15,121.1626434,661.4243774,25.80998421,26.09059715,52.94339371
14/9/15,119.7484894,657.7550049,25.25102806,26.01977158,52.97652435
15/9/15,121.2941666,663.2591553,25.47657204,26.32078171,53.89979935
16/9/15,122.0177002,660.5070801,26.22184563,26.35619736,54.72364044
17/9/15,121.7957077,651.7920532,25.7609539,26.3030777,54.57685471
18/9/15,118.8112259,634.8207397,25.51579857,25.69220161,54.47269821
21/9/15,120.4309158,638.9489136,25.41773605,25.81614494,55.18764114
22/9/15,118.7454453,628.8578491,25.11374474,25.38233376,54.90828705
23/9/15,118.112381,623.3535767,25.09413147,25.44431114,54.65261841
24/9/15,118.7290268,596.7498779,25.11374474,25.21412659,54.34959412
25/9/15,119.5593872,608.6757202,24.83916855,25.50628281,59.18371964
28/9/15,117.1751099,605.4648438,23.67222786,25.46201515,57.82959747
29/9/15,117.1340332,597.2084351,23.61339188,25.88697243,56.66012955
30/9/15,119.1894302,621.0601196,23.96641541,26.68377113,58.22257614
1/10/15,118.0548782,629.7752075,24.42730713,26.55982018,58.62976074
2/10/15,118.8688126,646.2878418,25.03529358,27.01133537,59.28314972
5/10/15,122.5356216,668.3047485,25.24122429,27.63106728,58.83809662
6/10/15,122.3218918,677.0198364,25.18238831,28.10029602,58.32673645
7/10/15,123.3989105,673.3502808,25.18238831,28.61378288,57.81066895
8/10/15,125.1994858,683.9001465,23.68203354,28.79084778,59.14111328
9/10/15,125.289917,693.0737915,23.82912636,28.454422,59.15531921
12/10/15,124.2621841,666.0112915,24.08408737,28.51639557,59.86077499
13/10/15,123.0124817,652.2507324,24.14292908,28.36589432,59.56723404
14/10/15,123.3331375,640.7835693,23.53494263,29.03874016,59.58142853
15/10/15,123.3989105,639.4075317,24.03505707,28.99447441,60.97816849
16/10/15,123.6455688,628.8578491,24.07428169,29.25121689,61.77361298
19/10/15,122.6836472,614.1798096,24.08408737,29.73814392,63.07092285
20/10/15,115.6294556,618.3080444,23.94680214,29.60534859,62.67319489
21/10/15,115.8596268,625.1883545,23.74087143,29.54337502,62.72054672
22/10/15,118.4659271,623.1144409,27.04557037,30.45526505,62.69213867
23/10/15,118.951004,639.8547363,27.61432838,30.89792633,61.80202103
26/10/15,118.112381,635.2047119,27.62413597,30.62347221,62.20446396
27/10/15,113.3438339,627.2994385,27.820261,30.51723289,61.93932343
28/10/15,115.7856522,626.3693848,27.70258713,30.72971153,62.16184998
29/10/15,115.5554657,631.4845581,27.63394165,30.12768745,62.08135223
30/10/15,115.1690292,639.3897095,27.35936737,29.97718811,62.03874207
2/11/15,115.4074402,643.1098633,27.94774055,30.19852257,62.11449051
3/11/15,116.6489258,646.3649292,28.33999252,30.37559128,62.21392441
4/11/15,116.4433975,659.8501587,28.73223686,30.44690704,61.7215271
5/11/15,115.0128174,651.0150757,28.73223686,30.31317329,62.43172836
6/11/15,114.7306595,650.085022,28.83030128,30.17051506,62.39384079
9/11/15,112.2908249,649.6200562,28.6145649,29.73365593,61.77832794
10/11/15,112.4236298,624.9744263,28.57533836,29.60883713,61.55107117
11/11/15,112.0501633,620.3242188,28.38902283,29.29678917,60.32951736
12/11/15,110.4070053,498.9565735,28.00657845,28.8866787,59.64772797
13/11/15,109.3364639,477.5660095,27.64374924,28.62811852,57.69702911
16/11/15,110.963028,491.0512695,27.92812729,28.61919975,58.4545784
17/11/15,111.0543213,516.1619873,27.89871025,29.10064316,58.03791428
18/11/15,112.7140579,505.001709,28.1928978,29.56426239,59.55302429
